potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-0.6929675078834161,-0.22990395332890867,0.001002510016327186,-1.1873033336685581,-1.1456339969107177,-0.9009972350915749,-1.2967926459322516,-0.6935245803039837,-0.2285620021455486,0.0013170306400000001,-1.2076756404754176,-1.1553604677790483,-0.8951260189817241,-1.307476893003876
-0.6990865123197025,-0.23469039417944826,0.000990322502326899,-1.2312597401882166,-1.1969062836933544,-0.9699552216785379,-1.3388451758997313,-0.7003746443634208,-0.23407603341774488,0.00137147482,-1.2527471738753666,-1.2027124061426853,-0.9597822067756985,-1.3486583238187104
-0.7061022674061341,-0.2401057104702049,0.0010593850816618539,-1.2716393941431066,-1.2428455041500603,-1.03116826525235,-1.3734322005471418,-0.7069312445736374,-0.23938155090233712,0.00142203013,-1.2936603217532965,-1.2452352516420417,-1.0197434431738448,-1.3852789447061689
-0.7124322719953962,-0.24538127666313558,0.0010918851189959493,-1.311077797423057,-1.2871005983985775,-1.0920080585604683,-1.4074522247904966,-0.7136191312427158,-0.2448492457772881,0.0014777706000000002,-1.3345734696312264,-1.287489814204494,-1.0803753869142523,-1.4217654241251751
-0.7196590272348034,-0.2513206558207395,0.0011934477356649997,-1.355881329550162,-1.3332269439895263,-1.1546207906306334,-1.442322749639935,-0.7208707774116127,-0.25073396822744715,0.0015373999400000002,-1.3793767200942708,-1.3343051866943219,-1.1473119796719147,-1.4620078646608439
-0.7263055320535283,-0.2567709096359525,0.0012706353243334793,-1.398802360327387,-1.3815987911913945,-1.218819836329998,-1.4798392763749675,-0.72786757339566,-0.2564101768900022,0.0015944367,-1.423375121746602,-1.3809864177156974,-1.2141144309611247,-1.501982022259608
-0.7332685371017162,-0.2630946015625779,0.001303135361667573,-1.4453942687368753,-1.4347423293164638,-1.2926300763709815,-1.520663305466993,-0.7354358516124001,-0.2625034131277653,0.0016462883000000002,-1.4716660503894043,-1.4324967416013534,-1.2882946630152072,-1.5462487068488435
-0.7403897922646356,-0.2695929811114859,0.0013315728943349078,-1.49095080140393,-1.4830206139512097,-1.3628011263214503,-1.560447833818249,-0.7425253203909381,-0.2682182354546914,0.0016955473200000002,-1.5168717252578054,-1.4801169629018947,-1.3573775192681052,-1.587430137663678
-0.7486715482689199,-0.2762311107582196,0.0014250105016704335,-1.5381074602183822,-1.5345735884352107,-1.4335320516704586,-1.6013663629776174,-0.7501399350049235,-0.2743191944253288,0.0017538803700000002,-1.5639553806845379,-1.528944457418506,-1.4263262340525509,-1.6299529831630346
-0.7551070529346697,-0.28192592724462817,0.0014615730436712913,-1.5806519907256322,-1.5813548719960124,-1.4953982832092363,-1.6369928883657971,-0.757484253968311,-0.2801498577453683,0.0018096208400000002,-1.6063440847154422,-1.5733452834761938,-1.486153328982245,-1.6681833016719199
-0.7625448083270521,-0.28793518145114505,0.0015062605950056738,-1.6195256436006198,-1.6243000903048266,-1.5535320120910727,-1.6705404122724383,-0.7647590683358305,-0.285918739202414,0.0018588798600000002,-1.6457816764403976,-1.6149291386963849,-1.5398099163631367,-1.7037307908117605
-0.7706155641783612,-0.29394443565766215,0.0015712606696738664,-1.6565167951257291,-1.6635963684958988,-1.6033609225612198,-1.700402433552716,-0.7720647736348469,-0.2916721751937113,0.0019159166200000003,-1.6853534096338052,-1.6570495597903847,-1.592125089059506,-1.7395465628885056
-0.7786335699914257,-0.300093439962005,0.0016687607816761527,-1.6966140738781372,-1.7101905269224558,-1.658228711618234,-1.7366904594122952,-0.7798415656391909,-0.2978040250958455,0.00197554596,-1.7300225186283973,-1.7045356396224738,-1.650208344899321,-1.7800572863610788
-0.7854910749631259,-0.3057533189239572,0.001693135809676725,-1.7369937278330272,-1.7539778083353648,-1.7088041226197683,-1.7716554843290764,-0.7872090528012011,-0.30351112468989744,0.00203387901,-1.7746916276229896,-1.7512168706438496,-1.707620893396875,-1.8204338683651997
-0.7928233302790213,-0.31144813541036553,0.0017175108376772975,-1.780479509015216,-1.8016011550002595,-1.7636719116767834,-1.8087940107947382,-0.7946151536275825,-0.30911782875658445,0.00209091577,-1.8209704342390085,-1.7992395163497474,-1.7671797053896647,-1.8624201479907474
-0.8007358360155981,-0.317562202190252,0.0017825109123454901,-1.8286715435721015,-1.8511893155747083,-1.8228320787892782,-1.85056304056019,-0.8024305592962977,-0.3150257194053662,0.0021414710800000004,-1.8696637872871678,-1.8500791328931423,-1.829421346751499,-1.9065526911115307
-0.8081208413697372,-0.32325701867666057,0.0018556359963472074,-1.8734750756992047,-1.8997482879108194,-1.8766734296156358,-1.8899695686420754,-0.809767155526811,-0.3205938098076821,0.0021998041300000004,-1.9139304718764034,-1.8970286468514224,-1.8845534902853651,-1.9467951316471994
-0.816086097144558,-0.3291265227853515,0.001969386127016543,-1.9168667318139003,-1.9461553212031335,-1.921556774065336,-1.9279585957138217,-0.8171037517573242,-0.3260846728812557,0.0022529520200000003,-1.956587458844212,-1.942502604656728,-1.9349906824234033,-1.9854278745614413
-0.8232073523074774,-0.33485627679621643,0.0019896986503503532,-1.9585641367137048,-1.9961177320460672,-1.9720388725004465,-1.96887712487319,-0.8248650982959199,-0.3318921680026725,0.0023151739400000004,-2.0009882849019,-1.989854543020365,-1.9852937330929892,-2.02567031509711
-0.8304868575851287,-0.34041134318479904,0.0020506362203517817,-1.9988496656011017,-2.038969387787761,-2.0138429022581725,-2.006015651338852,-0.8320704080675714,-0.33735214014474924,0.00237480328,-2.0428404230589954,-2.033718803204244,-2.030901832366747,-2.0634982092006386
-0.8382938632452182,-0.34603628462229463,0.0021562613416875945,-2.0417706963783266,-2.0828502317677913,-2.056673370246556,-2.042776177535144,-0.8391984905104806,-0.3427271622252095,0.0024331363300000002,-2.0852291270899,-2.0774489219196703,-2.0762416487036,-2.1014602447726194
-0.8448348679874558,-0.3509275380462038,0.002148136332354068,-2.0827151007381803,-2.1297250778957135,-2.1019299649619514,-2.082371705751714,-0.8464192457478805,-0.34821802529878315,0.00248628422,-2.1296299531475875,-2.1237277285356893,-2.1237277285356893,-2.1417026853082883
-0.852747373724033,-0.3570066673016339,0.0021968863883552146,-2.1301541347551143,-2.179032550768797,-2.1515722502992514,-2.1266922373354182,-0.8539952466974947,-0.35404868861882266,0.00254202469,-2.1777867403219378,-2.174433203610632,-2.174433203610632,-2.1854328040237148
-0.8606071294223665,-0.3629809839836944,0.0022740739770236926,-2.1751459170172063,-2.2250653337926254,-2.197108782713916,-2.168744767302898,-0.8609765972157937,-0.3594314334321571,0.00259646887,-2.223126556658791,-2.221785141974269,-2.2208461516951035,-2.2267483763070013
